Spanish,English
el,he
de,of
que,that
y,and
a,to
en,in
un,a
ser,be
se,HE
no,No
haber,to have
por,by
con,with
su,his
para,for
como,as
estar,be
tener,have
le,you
lo,it
todo,all
pero,but
mas,further
hacer,do
o,either
poder,can
decir,say
este,this
ir,go
otro,other
ese,that
la,the
si,Yeah
me,I
ya,already
ver,see
porque,because
dar,give
cuando,when
ellos,they
nos,us
mucho,a lot
quedar,meet
muy,very
sin,without
vez,time
tu,you
saber,know
qué,that
sobre,about
mi,my
alguno,some
mismo,same
yo,I
hasta,until
entre,between
así,So
desde,from
nosotros,us
nada,nothing
poco,bit
todo,all
ella,she
donde,where
contra,against
tiempo,time
solamente,only
cada,each
uno,one
mayor,elderly
pero,but
mejor,better
solo,only
as,ace
nunca,never
puedo,I can
tú,you
personas,people
otros,others
eso,that
hombre,man
puede,can
ante,in view of
todos,all
muchos,many
bien,good
nosotras,we
algo,something
nosotros,us
menos,less
después,after
quien,who
ni,neither
contra,against
eso,that
vida,life
otros,others
siempre,always
cual,which
ella,she
día,day
antes,before
ellos,they
uno,one
mismo,same
bueno,Well
tan,so
donde,where
dios,God
nuestro,our
ya,already
usted,you
hacer,do
estos,these
muerte,death
nuestros,our
será,be
esa,that
hoy,today
estoy,I'm
tal,such
sino,but
puede,can
tener,have
razón,reason
estar,be
hablar,talk
esos,those
hacia,toward
estar,be
desde,from
estas,are
ellas,they
cosa,stuff
mejor,better
solo,only
as,ace
nunca,never
puedo,I can
tú,you
personas,people
otros,others
eso,that
hombre,man
puede,can
ante,in view of
todos,all
muchos,many
bien,good
nosotras,we
algo,something
nosotros,us
menos,less
después,after
quien,who
ni,neither
contra,against
eso,that
vida,life
otros,others
siempre,always
cual,which
ella,she
día,day
antes,before
ellos,they
uno,one
mismo,same
bueno,Well
tan,so
donde,where
dios,God
nuestro,our
ya,already
usted,you
hacer,do
estos,these
muerte,death
nuestros,our
será,be
esa,that
hoy,today
estoy,I'm
tal,such
sino,but
puede,can
tener,have
razón,reason
estar,be
hablar,talk
esos,those
hacia,toward
estar,be
desde,from
estas,are
ellas,they
